agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DOE,Department of Energy,DOE-437,CAISY,HC HQ -  Office of the Chief Human Capital Officer (HC),,No,Deployed,Not High-impact,CAISY is not designated HIGH IMPACT in reards to definitions indicated in OMB MEMO M-25-21,Admin Functions,Reinforcement Learning,The feature's main objective is to mimic real-life situations in the workplace using predefined scenarios,"1. CAISY provides interactive, scenario-based content powered by AI where a learner can practice new skills in a safe space. This AI simulation content allows learners to choose a role, practice specific skills by responding to AI prompts, and receive adaptive, personalized feedback to guide their development
2. The user  is introduced by an avatar that is generated with AI text-to-video. After the introduction, the learner can either interact by typing or using speech-to-text (STT) and text-to-speech (TTS) services for more immersive and natural interaction.
When the conversation is over, the learner will receive a rating and evaluation",speech-to-text (STT) and text-to-speech (TTS) services for more immersive and natural interaction.,2024-08-21 00:00:00,Vendor Purchased,SKILLSOFT,Yes,PERCIPIO/CAISY,None of the above,,No,,[],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-449,EnerGPT,IM-50 - Architecture Engineering Technology and Innovation (IM),,No,Deployed,Not High-impact,It does not meet the definition defined by OMB.,Admin Functions,Generative AI,Improves efficiency of DOE staff.,EnerGPT aims to enhance user productivity and reduce time spent on redundant tasks .,EnerGPT generates answers to user questions.,2024-09-02 00:00:00,Contracting and In House,"Accenture Federal Services, Google",Yes,OCIO Google Cloud Platform,Google's Gemini familiy of models.,,No,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-479,Funding Finder,IM-50 - Architecture Engineering Technology and Innovation (IM),,No,Retired,Not High-impact,It is retired.,,,,The Funding Finder will aggregate FOAs from different DOE sources and enables users to ask questions when identifying opportunities and developing proposals.,Answers to questions about DOE FOAs.,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-481,PDF Analyzer,IM-50 - Architecture Engineering Technology and Innovation (IM),,No,Deployed,Not High-impact,Does not meet the requirements defined by OMB.,Admin Functions,Generative AI,Summarization and knowledge retrieval.,PDF Analyzer will enable teams across the DOE to upload large PDFs and ask questions and generate content related to those PDFs.,PDF Analyzer will output the answers to a user's question along with the relevant sections of the PDF that the answer is based on.,2024-09-02 00:00:00,Contracting and In House,"Accenture Federal Services, Google",Yes,OCIO Google Cloud Platform,Google's Gemini family of models.,,No,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-497,SmartPD Creator,IM-50 - Architecture Engineering Technology and Innovation (IM),,No,Deployed,Not High-impact,It does not meet the definition defined by OMB.,Admin Functions,Generative AI,It improves the speed and accuracy for DOE employees to create position descriptions.,The time to hire much needed resources will be reduced and the process will be greatly improved.,Position descriptions for federal roles.,2024-09-02 00:00:00,Contracting and In House,"Accenture Federal Services, Google",Yes,OCIO Google Cloud Platform,Google's Gemini familiy of models.,,No,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-562,PWS Builder,IM-50 - Architecture Engineering Technology and Innovation (IM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,Admin Functions,Generative AI,Improved speed to create a performance work statement document.,DOE employees would be able to quickly and accurately draft performance work statements for projects both net-new and in-flight. This would greatly reduce the time needed to get a project up and running.,Performance work statements.,2024-10-01 00:00:00,Contracting and In House,"Accenture Federal Services, Google",Yes,OCIO Google Cloud Platform,Google's Gemini family of models.,,No,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-576,EnerGPT Canvas,IM-50 - Architecture Engineering Technology and Innovation (IM),,No,Deployed,Not High-impact,It does not meet the definition defined by OMB.,Admin Functions,Generative AI,"Improves the speed and accuracy DOE employees are able to draft, edit, and produce content.",Allowing DOE users to edit their projects using AI in one single platform.,"New content, edits to existing content, code, etc.",2025-08-06 00:00:00,Contracting and In House,"Accenture Federal Services, Google",Yes,OCIO Google Cloud Platform,Google's Gemini family of models.,,No,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-347,Network Security and Analysis,IM-60 - IM Enterprise Operations and Shared Services (IM),,No,Deployed,Not High-impact,It does not meet the requirements to be high impact,Cybersecurity,Classical ML,"behavior of attack, triage","Vectra AI is a Structured and Unstructured machine learning (ML) and  Security -Led Artifical Intelligence (AI) tool used to detect patterns, anomalous or previously unseen activities inside petabytes of network and log data within the DOE HQ EITS networking boundary and cloud environments.","Prediction: The Vectra AI Platform with Attack Signal Intelligence uses AI to analyze the behavior of attackers,  automatically apply triage, correlate, and prioritize each security event or incident.",2019-12-05 00:00:00,Vendor Purchased,Vectra,Yes,Networks Enclave,Network Data flow and system logs,No,No,,[],No,Vendor owned - code not available.,,,,,,,,,[]
DOE,Department of Energy,DOE-568,AI-Based Chat Bot,IM-60 - IM Enterprise Operations and Shared Services (IM),,No,Retired,Not High-impact,"Output does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety. Assists in developing software code that may accept product, but this AI will not make those decision",,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-442,Text To Speech Audio Generation,KCNSC - Kansas City National Security Campus (KCFO),,No,Deployed,Not High-impact,Does not match any of the identifed categories in M-25-21. Is used to generate audio in courses that do not have a direct impact to safety/data security.,HR,Generative AI,"Inefficiencies with generating audio for training materials that does not include CUI, UCNI or Class material. Allows for quick generation and updates to course and video audio",Reduction of time to create and modify training courses to ensure qualification of employees,MP3 files incoorperated into videos/courses,2022-09-16 00:00:00,Vendor Purchased,Wellsaid,Yes,"N/A - System is used only for GREEN DATA, no OUO or CUI is allowed and does not require a System Security Plan to be named","None, we do not train the model",,No,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-530,Merlin - KCNSC Generative AI with RAG,KCNSC - Kansas City National Security Campus (KCFO),,No,Pilot,Not High-impact,"Output does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety. Assists in developing software code that may accept product, but this AI will not make those decision",IT,Generative AI,"Intended to address the opportunity to enhance overall productivity. No definite 'problem' being solved, just capitalizing on an opportunity to leverage industry investment in generative AI broadly.","It serves as a general productivity enhancer -not driven by a specific problem, but by the opportunity to improve efficiency.","outputs are context-aware responses that combine generated content with retrieved, authoritative information to ensure accuracy, relavance, and grounding.",2025-07-16 00:00:00,In-house Development,N/A - Open Source Integration,Yes,vLLM - OpenSource model engine OpenShift - containerization platform GPT-OSS-120b - Opensource model OpenWebUI - Opensource front end,"Leveraging OpenAI open-sourced models, so they are responsible for providing training data",,No,,['k) None of the above'],No,https://huggingface.co/openai/gpt-oss-120b,,,,,,,,,[]
DOE,Department of Energy,DOE-567,Tabnine AI Pair Programmer,KCNSC - Kansas City National Security Campus (KCFO),,No,Pre-deployment,Not High-impact,AI provides structured recommendations only; human reviewers retain authority for evaluation decisions,IT,Generative AI,"Accelerate and simplify software development across our entire site. There is no definite 'problem' being solved, just capitalizing on an opportunity to leverage industry investment in generative AI for software development","This use case will boost engineering velocity, code quality, and developer happiness by automating the coding workflow through AI tools customized to our teams.",Expediated quality software for Test Engineering,2025-07-16 00:00:00,Vendor Purchased,Tabnine,Yes,Tabnine,"Tabnine is responsible for model training, containerization, and updates to their software",,No,,['k) None of the above'],No,,,,,,,,,,[]
